condition_id,task,distractor_type,noise_count,gold_count,menu_size,gold_fraction,gold_positions,mean_distractor_gold_similarity,max_distractor_gold_similarity,parse_status,parse_mode,selected_count,selected_skill_ids,prompt_tokens,completion_tokens,total_tokens,latency_seconds,retry_count,precision_inclusive,precision_conditional,gold_recall,selection_f1,exact_set_match,complete_gold_coverage,missing_gold_count,extra_skill_count,any_wrong_selection,empty_selection,jaccard
azure-bgp-oscillation-route-leak|hard|n10,azure-bgp-oscillation-route-leak,hard,10,1,11,0.090909,6,0.186914,0.334485,ok,strict,3,benchflow-ai--azure-bgp;davila7--networkx;eyadsibai--networkx,803,12,815,2.3225,0,0.333333,0.333333,1.0,0.5,0.0,1.0,0,2,1.0,0.0,0.333333
azure-bgp-oscillation-route-leak|random|n20,azure-bgp-oscillation-route-leak,random,20,1,21,0.047619,14,,,ok,strict,1,benchflow-ai--azure-bgp,1331,7,1338,1.9979,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,1.0
azure-bgp-oscillation-route-leak|hard|n20,azure-bgp-oscillation-route-leak,hard,20,1,21,0.047619,10,0.19244,0.334485,ok,strict,4,benchflow-ai--azure-bgp;davila7--networkx;eyadsibai--networkx;parcadei--graph-algorithms,1273,16,1289,2.0285,0,0.25,0.25,1.0,0.4,0.0,1.0,0,3,1.0,0.0,0.25
citation-check|shared|n0,citation-check,shared,0,1,1,1.0,1,,,ok,strict,1,benchflow-ai--citation-management,179,6,185,2.6192,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,1.0
citation-check|random|n2,citation-check,random,2,1,3,0.333333,1,,,ok,strict,1,benchflow-ai--citation-management,264,6,270,2.0349,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,1.0
citation-check|hard|n2,citation-check,hard,2,1,3,0.333333,2,1.0,1.0,ok,strict,3,K-Dense-AI--citation-management;benchflow-ai--citation-management;davila7--citation-management,319,12,331,2.4304,0,0.333333,0.333333,1.0,0.5,0.0,1.0,0,2,1.0,0.0,0.333333
citation-check|random|n5,citation-check,random,5,1,6,0.166667,2,,,ok,strict,1,benchflow-ai--citation-management,449,6,455,2.229,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,1.0
citation-check|hard|n5,citation-check,hard,5,1,6,0.166667,3,0.875263,1.0,ok,strict,6,K-Dense-AI--citation-management;benchflow-ai--citation-management;davila7--citation-management;jimmc414--citation-management;jmsktm--citation-manager;plurigrid--academic-research,472,21,493,3.114,0,0.166667,0.166667,1.0,0.285714,0.0,1.0,0,5,1.0,0.0,0.166667
citation-check|random|n10,citation-check,random,10,1,11,0.090909,4,,,ok,strict,1,benchflow-ai--citation-management,752,6,758,1.8888,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,1.0
citation-check|hard|n10,citation-check,hard,10,1,11,0.090909,4,0.675579,1.0,ok,strict,8,K-Dense-AI--citation-management;benchflow-ai--citation-management;dangeles--fact-checker;davila7--citation-management;glebis--firecrawl-research;jimmc414--citation-management;jmsktm--citation-manager;plurigrid--academic-research,765,29,794,2.8618,0,0.125,0.125,1.0,0.222222,0.0,1.0,0,7,1.0,0.0,0.125
citation-check|random|n20,citation-check,random,20,1,21,0.047619,8,,,ok,strict,1,benchflow-ai--citation-management,1160,6,1166,2.9937,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,1.0
citation-check|hard|n20,citation-check,hard,20,1,21,0.047619,6,0.587195,1.0,ok,strict,6,K-Dense-AI--citation-management;benchflow-ai--citation-management;davila7--citation-management;jimmc414--citation-management;jkitchin--citation-verifier;jmsktm--citation-manager,1611,29,1640,2.4525,0,0.166667,0.166667,1.0,0.285714,0.0,1.0,0,5,1.0,0.0,0.166667
civ6-adjacency-optimizer|shared|n0,civ6-adjacency-optimizer,shared,0,4,4,1.0,1;2;3;4,,,ok,strict,3,benchflow-ai--civ6lib;benchflow-ai--hex-grid-spatial;benchflow-ai--map-optimization-strategy,270,12,282,2.5828,0,1.0,1.0,0.75,0.857143,0.0,0.0,1,0,0.0,0.0,0.75
civ6-adjacency-optimizer|random|n2,civ6-adjacency-optimizer,random,2,4,6,0.666667,1;2;4;5,,,ok,strict,3,benchflow-ai--civ6lib;benchflow-ai--hex-grid-spatial;benchflow-ai--map-optimization-strategy,396,12,408,2.2653,0,1.0,1.0,0.75,0.857143,0.0,0.0,1,0,0.0,0.0,0.75
civ6-adjacency-optimizer|hard|n2,civ6-adjacency-optimizer,hard,2,4,6,0.666667,1;3;5;6,0.437418,0.523001,ok,strict,3,benchflow-ai--civ6lib;benchflow-ai--hex-grid-spatial;benchflow-ai--map-optimization-strategy,374,12,386,4.5393,0,1.0,1.0,0.75,0.857143,0.0,0.0,1,0,0.0,0.0,0.75
civ6-adjacency-optimizer|random|n5,civ6-adjacency-optimizer,random,5,4,9,0.444444,2;4;6;7,,,ok,strict,3,benchflow-ai--civ6lib;benchflow-ai--hex-grid-spatial;benchflow-ai--map-optimization-strategy,714,17,731,2.5029,0,1.0,1.0,0.75,0.857143,0.0,0.0,1,0,0.0,0.0,0.75
civ6-adjacency-optimizer|hard|n5,civ6-adjacency-optimizer,hard,5,4,9,0.444444,1;6;8;9,0.380838,0.523001,ok,strict,3,benchflow-ai--civ6lib;benchflow-ai--hex-grid-spatial;benchflow-ai--map-optimization-strategy,578,12,590,1.986,0,1.0,1.0,0.75,0.857143,0.0,0.0,1,0,0.0,0.0,0.75
civ6-adjacency-optimizer|random|n10,civ6-adjacency-optimizer,random,10,4,14,0.285714,2;6;9;12,,,ok,strict,3,benchflow-ai--civ6lib;benchflow-ai--hex-grid-spatial;benchflow-ai--map-optimization-strategy,976,17,993,4.2298,0,1.0,1.0,0.75,0.857143,0.0,0.0,1,0,0.0,0.0,0.75
civ6-adjacency-optimizer|hard|n10,civ6-adjacency-optimizer,hard,10,4,14,0.285714,1;7;12;14,0.34697,0.523001,ok,strict,4,benchflow-ai--civ6lib;benchflow-ai--hex-grid-spatial;benchflow-ai--map-optimization-strategy;tondevrel--ortools,803,21,824,3.511,0,0.75,0.75,0.75,0.75,0.0,0.0,1,1,1.0,0.0,0.6
civ6-adjacency-optimizer|random|n20,civ6-adjacency-optimizer,random,20,4,24,0.166667,2;9;15;19,,,ok,strict,3,benchflow-ai--civ6lib;benchflow-ai--hex-grid-spatial;benchflow-ai--map-optimization-strategy,1450,18,1468,2.7436,0,1.0,1.0,0.75,0.857143,0.0,0.0,1,0,0.0,0.0,0.75
civ6-adjacency-optimizer|hard|n20,civ6-adjacency-optimizer,hard,20,4,24,0.166667,2;10;19;22,0.352681,0.523001,ok,strict,5,benchflow-ai--civ6lib;benchflow-ai--hex-grid-spatial;benchflow-ai--map-optimization-strategy;davila7--networkx;tondevrel--ortools,1352,39,1391,2.4524,0,0.6,0.6,0.75,0.666667,0.0,0.0,1,2,1.0,0.0,0.5
court-form-filling|shared|n0,court-form-filling,shared,0,1,1,1.0,1,,,ok,strict,1,benchflow-ai--pdf-1,166,6,172,2.525,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,1.0
court-form-filling|random|n2,court-form-filling,random,2,1,3,0.333333,2,,,ok,strict,1,benchflow-ai--pdf-1,242,6,248,2.4561,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,1.0
court-form-filling|hard|n2,court-form-filling,hard,2,1,3,0.333333,3,0.661197,0.733219,ok,strict,3,benchflow-ai--pdf-1;curiositech--document-generation-pdf;mofa-org--pdf-processing,293,12,305,2.612,0,0.333333,0.333333,1.0,0.5,0.0,1.0,0,2,1.0,0.0,0.333333
court-form-filling|random|n5,court-form-filling,random,5,1,6,0.166667,5,,,ok,strict,1,benchflow-ai--pdf-1,338,6,344,2.432,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,1.0
court-form-filling|hard|n5,court-form-filling,hard,5,1,6,0.166667,6,0.54472,0.733219,ok,strict,5,benchflow-ai--pdf-1;curiositech--document-generation-pdf;instavm--pdf-text-replace;mofa-org--pdf-processing;rafaelcalleja--pdf-form-processor,414,18,432,2.4735,0,0.2,0.2,1.0,0.333333,0.0,1.0,0,4,1.0,0.0,0.2
court-form-filling|random|n10,court-form-filling,random,10,1,11,0.090909,8,,,ok,strict,1,benchflow-ai--pdf-1,780,6,786,3.1078,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,1.0
court-form-filling|hard|n10,court-form-filling,hard,10,1,11,0.090909,9,0.599316,0.833703,ok,strict,9,404kidwiz--pdf-skill;benchflow-ai--pdf-1;curiositech--document-generation-pdf;instavm--pdf-text-replace;mofa-org--pdf-processing;oakoss--pdf-tools;rafaelcalleja--pdf-form-processor;sickn33--pdf-official;vamseeachanta--pypdf,732,32,764,2.9318,0,0.111111,0.111111,1.0,0.2,0.0,1.0,0,8,1.0,0.0,0.111111
court-form-filling|random|n20,court-form-filling,random,20,1,21,0.047619,15,,,ok,strict,1,benchflow-ai--pdf-1,1477,7,1484,2.0771,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,1.0
court-form-filling|hard|n20,court-form-filling,hard,20,1,21,0.047619,18,0.700118,0.950884,ok,strict,17,404kidwiz--pdf-skill;benchflow-ai--pdf-1;composiohq--pdf;curiositech--document-generation-pdf;dedalus-erp-pas--pdf;ederheisler--pdf;eyadsibai--pdf;instavm--pdf-text-replace;krafton-ai--pdf;mofa-org--pdf-processing;oakoss--pdf-tools;rafaelcalleja--pdf-form-processor;rohunj--pdf;sickn33--pdf-official;skillcreatorai--pdf;vamseeachanta--pypdf;vibery-studio--pdf,1356,105,1461,6.0093,0,0.058824,0.058824,1.0,0.111111,0.0,1.0,0,16,1.0,0.0,0.058824
crystallographic-wyckoff-position-analysis|shared|n0,crystallographic-wyckoff-position-analysis,shared,0,2,2,1.0,1;2,,,ok,strict,1,benchflow-ai--pymatgen,262,6,268,1.8354,0,1.0,1.0,0.5,0.666667,0.0,0.0,1,0,0.0,0.0,0.5
crystallographic-wyckoff-position-analysis|random|n2,crystallographic-wyckoff-position-analysis,random,2,2,4,0.5,1;3,,,ok,strict,1,benchflow-ai--pymatgen,319,6,325,2.2485,0,1.0,1.0,0.5,0.666667,0.0,0.0,1,0,0.0,0.0,0.5
crystallographic-wyckoff-position-analysis|hard|n2,crystallographic-wyckoff-position-analysis,hard,2,2,4,0.5,1;2,0.688419,1.0,ok,strict,2,benchflow-ai--pymatgen;davila7--pymatgen,406,9,415,1.9584,0,0.5,0.5,0.5,0.5,0.0,0.0,1,1,1.0,0.0,0.333333
crystallographic-wyckoff-position-analysis|random|n5,crystallographic-wyckoff-position-analysis,random,5,2,7,0.285714,1;4,,,ok,strict,1,benchflow-ai--pymatgen,413,6,419,2.1795,0,1.0,1.0,0.5,0.666667,0.0,0.0,1,0,0.0,0.0,0.5
crystallographic-wyckoff-position-analysis|hard|n5,crystallographic-wyckoff-position-analysis,hard,5,2,7,0.285714,1;3,0.3995,1.0,ok,strict,2,benchflow-ai--pymatgen;davila7--pymatgen,524,9,533,2.3497,0,0.5,0.5,0.5,0.5,0.0,0.0,1,1,1.0,0.0,0.333333
crystallographic-wyckoff-position-analysis|random|n10,crystallographic-wyckoff-position-analysis,random,10,2,12,0.166667,3;7,,,ok,strict,1,benchflow-ai--pymatgen,692,6,698,1.9103,0,1.0,1.0,0.5,0.666667,0.0,0.0,1,0,0.0,0.0,0.5
crystallographic-wyckoff-position-analysis|hard|n10,crystallographic-wyckoff-position-analysis,hard,10,2,12,0.166667,3;5,0.333698,1.0,ok,strict,2,benchflow-ai--pymatgen;davila7--pymatgen,773,10,783,2.6185,0,0.5,0.5,0.5,0.5,0.0,0.0,1,1,1.0,0.0,0.333333
crystallographic-wyckoff-position-analysis|random|n20,crystallographic-wyckoff-position-analysis,random,20,2,22,0.090909,5;10,,,ok,strict,1,benchflow-ai--pymatgen,1362,6,1368,2.3811,0,1.0,1.0,0.5,0.666667,0.0,0.0,1,0,0.0,0.0,0.5
crystallographic-wyckoff-position-analysis|hard|n20,crystallographic-wyckoff-position-analysis,hard,20,2,22,0.090909,4;8,0.258733,1.0,ok,strict,2,benchflow-ai--pymatgen;davila7--pymatgen,1336,10,1346,2.4314,0,0.5,0.5,0.5,0.5,0.0,0.0,1,1,1.0,0.0,0.333333
dapt-intrusion-detection|shared|n0,dapt-intrusion-detection,shared,0,2,2,1.0,1;2,,,ok,strict,1,benchflow-ai--pcap-analysis,175,6,181,2.3411,0,1.0,1.0,0.5,0.666667,0.0,0.0,1,0,0.0,0.0,0.5
dapt-intrusion-detection|random|n2,dapt-intrusion-detection,random,2,2,4,0.5,3;4,,,ok,strict,1,benchflow-ai--pcap-analysis,282,6,288,2.5023,0,1.0,1.0,0.5,0.666667,0.0,0.0,1,0,0.0,0.0,0.5
dapt-intrusion-detection|hard|n2,dapt-intrusion-detection,hard,2,2,4,0.5,1;2,0.582523,0.686291,ok,strict,1,benchflow-ai--pcap-analysis,302,6,308,2.0651,0,1.0,1.0,0.5,0.666667,0.0,0.0,1,0,0.0,0.0,0.5
dapt-intrusion-detection|random|n5,dapt-intrusion-detection,random,5,2,7,0.285714,5;6,,,ok,strict,1,benchflow-ai--pcap-analysis,474,6,480,2.4539,0,1.0,1.0,0.5,0.666667,0.0,0.0,1,0,0.0,0.0,0.5
dapt-intrusion-detection|hard|n5,dapt-intrusion-detection,hard,5,2,7,0.285714,1;3,0.579654,0.686291,ok,strict,1,benchflow-ai--pcap-analysis,460,6,466,2.2583,0,1.0,1.0,0.5,0.666667,0.0,0.0,1,0,0.0,0.0,0.5
dapt-intrusion-detection|random|n10,dapt-intrusion-detection,random,10,2,12,0.166667,7;9,,,ok,strict,1,benchflow-ai--pcap-analysis,954,6,960,2.3936,0,1.0,1.0,0.5,0.666667,0.0,0.0,1,0,0.0,0.0,0.5
dapt-intrusion-detection|hard|n10,dapt-intrusion-detection,hard,10,2,12,0.166667,2;8,0.519508,0.686291,ok,strict,1,benchflow-ai--pcap-analysis,672,10,682,2.3072,0,1.0,1.0,0.5,0.666667,0.0,0.0,1,0,0.0,0.0,0.5
dapt-intrusion-detection|random|n20,dapt-intrusion-detection,random,20,2,22,0.090909,13;18,,,ok,strict,1,benchflow-ai--pcap-analysis,1552,7,1559,2.3777,0,1.0,1.0,0.5,0.666667,0.0,0.0,1,0,0.0,0.0,0.5
dapt-intrusion-detection|hard|n20,dapt-intrusion-detection,hard,20,2,22,0.090909,6;17,0.42219,0.686291,ok,strict,6,benchflow-ai--pcap-analysis;benchflow-ai--pcap-triage-tshark;brownfinesecurity--netflows;parcadei--entropy;sherifeldeeb--network-forensics;zebbern--wireshark-network-traffic-analysis,980,45,1025,2.9739,0,0.166667,0.166667,0.5,0.25,0.0,0.0,1,5,1.0,0.0,0.142857
data-to-d3|shared|n0,data-to-d3,shared,0,1,1,1.0,1,,,ok,strict,1,benchflow-ai--d3js-visualization,182,6,188,2.0656,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,1.0
data-to-d3|random|n2,data-to-d3,random,2,1,3,0.333333,1,,,ok,strict,1,benchflow-ai--d3js-visualization,263,6,269,3.458,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,1.0
data-to-d3|hard|n2,data-to-d3,hard,2,1,3,0.333333,1,0.829352,0.885045,ok,strict,2,bbeierle12--d3js-visualization;benchflow-ai--d3js-visualization,299,9,308,2.5964,0,0.5,0.5,1.0,0.666667,0.0,1.0,0,1,1.0,0.0,0.5
data-to-d3|random|n5,data-to-d3,random,5,1,6,0.166667,1,,,ok,strict,1,benchflow-ai--d3js-visualization,497,6,503,2.3066,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,1.0
data-to-d3|hard|n5,data-to-d3,hard,5,1,6,0.166667,1,0.72605,0.885045,ok,strict,3,autumnsgrove--d3js-visualization;bbeierle12--d3js-visualization;benchflow-ai--d3js-visualization,553,12,565,3.299,0,0.333333,0.333333,1.0,0.5,0.0,1.0,0,2,1.0,0.0,0.333333
data-to-d3|random|n10,data-to-d3,random,10,1,11,0.090909,2,,,ok,strict,1,benchflow-ai--d3js-visualization,822,6,828,1.8965,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,1.0
data-to-d3|hard|n10,data-to-d3,hard,10,1,11,0.090909,2,0.691747,0.885045,ok,strict,5,autumnsgrove--d3js-visualization;bbeierle12--d3js-visualization;benchflow-ai--d3js-visualization;jackspace--d3-viz;sickn33--claude-d3js-skill,877,25,902,2.4584,0,0.2,0.2,1.0,0.333333,0.0,1.0,0,4,1.0,0.0,0.2
data-to-d3|random|n20,data-to-d3,random,20,1,21,0.047619,2,,,ok,strict,1,benchflow-ai--d3js-visualization,1383,6,1389,2.4765,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,1.0
data-to-d3|hard|n20,data-to-d3,hard,20,1,21,0.047619,4,0.591961,0.885045,ok,strict,5,autumnsgrove--d3js-visualization;bbeierle12--d3js-visualization;benchflow-ai--d3js-visualization;jackspace--d3-viz;sickn33--claude-d3js-skill,1499,20,1519,2.4066,0,0.2,0.2,1.0,0.333333,0.0,1.0,0,4,1.0,0.0,0.2
dialogue-parser|shared|n0,dialogue-parser,shared,0,1,1,1.0,1,,,ok,strict,1,benchflow-ai--dialogue-graph,150,6,156,2.5521,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,1.0
dialogue-parser|random|n2,dialogue-parser,random,2,1,3,0.333333,1,,,ok,strict,1,benchflow-ai--dialogue-graph,228,6,234,2.4462,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,1.0
dialogue-parser|hard|n2,dialogue-parser,hard,2,1,3,0.333333,1,0.372837,0.452355,ok,strict,3,benchflow-ai--dialogue-graph;jeremylongshore--graphviz-dot-generator;mindmorass--graphviz-diagrams,261,12,273,2.161,0,0.333333,0.333333,1.0,0.5,0.0,1.0,0,2,1.0,0.0,0.333333
dialogue-parser|random|n5,dialogue-parser,random,5,1,6,0.166667,1,,,ok,strict,1,benchflow-ai--dialogue-graph,368,6,374,2.1965,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,1.0
dialogue-parser|hard|n5,dialogue-parser,hard,5,1,6,0.166667,1,0.454826,0.571998,ok,strict,3,benchflow-ai--dialogue-graph;jeremylongshore--graphviz-dot-generator;mindmorass--graphviz-diagrams,543,17,560,3.3168,0,0.333333,0.333333,1.0,0.5,0.0,1.0,0,2,1.0,0.0,0.333333
dialogue-parser|random|n10,dialogue-parser,random,10,1,11,0.090909,1,,,ok,strict,1,benchflow-ai--dialogue-graph,657,6,663,3.0991,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,1.0
dialogue-parser|hard|n10,dialogue-parser,hard,10,1,11,0.090909,2,0.407075,0.571998,ok,strict,4,benchflow-ai--dialogue-graph;markdown-viewer--graphviz;mindmorass--graphviz-diagrams;rafaelcalleja--structured-output-fabric,900,21,921,3.6007,0,0.25,0.25,1.0,0.4,0.0,1.0,0,3,1.0,0.0,0.25
dialogue-parser|random|n20,dialogue-parser,random,20,1,21,0.047619,1,,,ok,strict,1,benchflow-ai--dialogue-graph,1211,6,1217,3.1214,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,1.0
dialogue-parser|hard|n20,dialogue-parser,hard,20,1,21,0.047619,4,0.406836,0.683892,ok,strict,5,benchflow-ai--dialogue-graph;jeremylongshore--graphviz-dot-generator;markdown-viewer--graphviz;mindmorass--graphviz-diagrams;rafaelcalleja--structured-output-fabric,1664,40,1704,3.1102,0,0.2,0.2,1.0,0.333333,0.0,1.0,0,4,1.0,0.0,0.2
dynamic-object-aware-egomotion|shared|n0,dynamic-object-aware-egomotion,shared,0,4,4,1.0,1;2;3;4,,,ok,strict,2,benchflow-ai--dyn-object-masks;benchflow-ai--egomotion-estimation,231,9,240,3.2399,0,1.0,1.0,0.5,0.666667,0.0,0.0,2,0,0.0,0.0,0.5
dynamic-object-aware-egomotion|random|n2,dynamic-object-aware-egomotion,random,2,4,6,0.666667,1;4;5;6,,,ok,strict,2,benchflow-ai--dyn-object-masks;benchflow-ai--egomotion-estimation,324,9,333,3.0156,0,1.0,1.0,0.5,0.666667,0.0,0.0,2,0,0.0,0.0,0.5
