task,condition,repeat,skill_id,retrieval_correct,relevance_rank,reciprocal_relevance_rank,top10_relevant,top100_relevant
azure-bgp-oscillation-route-leak,hard_distractor,0,eyadsibai--networkx,False,,0.0,0.0,0.0
azure-bgp-oscillation-route-leak,random_wrong,0,fxstein--release-workflow,False,,0.0,0.0,0.0
azure-bgp-oscillation-route-leak,no_skill,1,,,,0.0,0.0,0.0
azure-bgp-oscillation-route-leak,gold_skill,1,benchflow-ai--azure-bgp,True,1,1.0,1.0,1.0
azure-bgp-oscillation-route-leak,retrieved_top1_full,1,eyadsibai--networkx,False,,0.0,0.0,0.0
azure-bgp-oscillation-route-leak,hard_distractor,1,eyadsibai--networkx,False,,0.0,0.0,0.0
azure-bgp-oscillation-route-leak,random_wrong,1,thedivergentai--godot-shaders-basics,False,,0.0,0.0,0.0
azure-bgp-oscillation-route-leak,no_skill,2,,,,0.0,0.0,0.0
azure-bgp-oscillation-route-leak,gold_skill,2,benchflow-ai--azure-bgp,True,1,1.0,1.0,1.0
azure-bgp-oscillation-route-leak,retrieved_top1_full,2,eyadsibai--networkx,False,,0.0,0.0,0.0
azure-bgp-oscillation-route-leak,hard_distractor,2,eyadsibai--networkx,False,,0.0,0.0,0.0
azure-bgp-oscillation-route-leak,random_wrong,2,shubhamsaboo--deep-research,False,,0.0,0.0,0.0
citation-check,no_skill,0,,,,0.0,0.0,0.0
citation-check,gold_skill,0,benchflow-ai--citation-management,True,4,0.25,1.0,1.0
citation-check,retrieved_top1_full,0,plurigrid--academic-research,False,9,0.1111111111111111,1.0,1.0
citation-check,hard_distractor,0,parcadei--wiring,False,,0.0,0.0,0.0
citation-check,random_wrong,0,ancoleman--architecting-networks,False,,0.0,0.0,0.0
citation-check,no_skill,1,,,,0.0,0.0,0.0
citation-check,gold_skill,1,benchflow-ai--citation-management,True,4,0.25,1.0,1.0
citation-check,retrieved_top1_full,1,plurigrid--academic-research,False,9,0.1111111111111111,1.0,1.0
citation-check,hard_distractor,1,parcadei--wiring,False,,0.0,0.0,0.0
citation-check,random_wrong,1,jmsktm--ui-builder,False,,0.0,0.0,0.0
citation-check,no_skill,2,,,,0.0,0.0,0.0
citation-check,gold_skill,2,benchflow-ai--citation-management,True,4,0.25,1.0,1.0
citation-check,retrieved_top1_full,2,plurigrid--academic-research,False,9,0.1111111111111111,1.0,1.0
citation-check,hard_distractor,2,parcadei--wiring,False,,0.0,0.0,0.0
citation-check,random_wrong,2,ruvnet--agent-memory-coordinator,False,,0.0,0.0,0.0
civ6-adjacency-optimizer,no_skill,0,,,,0.0,0.0,0.0
civ6-adjacency-optimizer,gold_skill,0,benchflow-ai--civ6lib,True,140,0.007142857142857143,0.0,0.0
civ6-adjacency-optimizer,retrieved_top1_full,0,benchflow-ai--hex-grid-spatial,True,,0.0,0.0,0.0
civ6-adjacency-optimizer,hard_distractor,0,Prorise-cool--file-organizer,False,,0.0,0.0,0.0
civ6-adjacency-optimizer,random_wrong,0,sickn33--superpowers-lab,False,,0.0,0.0,0.0
civ6-adjacency-optimizer,no_skill,1,,,,0.0,0.0,0.0
civ6-adjacency-optimizer,gold_skill,1,benchflow-ai--civ6lib,True,140,0.007142857142857143,0.0,0.0
civ6-adjacency-optimizer,retrieved_top1_full,1,benchflow-ai--hex-grid-spatial,True,,0.0,0.0,0.0
civ6-adjacency-optimizer,hard_distractor,1,Prorise-cool--file-organizer,False,,0.0,0.0,0.0
civ6-adjacency-optimizer,random_wrong,1,CharlesWiltgen--axiom-swift-concurrency,False,,0.0,0.0,0.0
civ6-adjacency-optimizer,no_skill,2,,,,0.0,0.0,0.0
civ6-adjacency-optimizer,gold_skill,2,benchflow-ai--civ6lib,True,140,0.007142857142857143,0.0,0.0
civ6-adjacency-optimizer,retrieved_top1_full,2,benchflow-ai--hex-grid-spatial,True,,0.0,0.0,0.0
civ6-adjacency-optimizer,hard_distractor,2,Prorise-cool--file-organizer,False,,0.0,0.0,0.0
civ6-adjacency-optimizer,random_wrong,2,jeremylongshore--analyzing-liquidity-pools,False,,0.0,0.0,0.0
court-form-filling,no_skill,0,,,,0.0,0.0,0.0
court-form-filling,gold_skill,0,benchflow-ai--pdf-1,True,241,0.004149377593360996,0.0,0.0
court-form-filling,retrieved_top1_full,0,ynulihao--browser-automation,False,280,0.0035714285714285713,0.0,0.0
court-form-filling,hard_distractor,0,github--playwright-automation-fill-in-form,False,357,0.0028011204481792717,0.0,0.0
court-form-filling,random_wrong,0,aaaaqwq--google-analytics-automation,False,,0.0,0.0,0.0
court-form-filling,no_skill,1,,,,0.0,0.0,0.0
court-form-filling,gold_skill,1,benchflow-ai--pdf-1,True,241,0.004149377593360996,0.0,0.0
court-form-filling,retrieved_top1_full,1,ynulihao--browser-automation,False,280,0.0035714285714285713,0.0,0.0
court-form-filling,hard_distractor,1,github--playwright-automation-fill-in-form,False,357,0.0028011204481792717,0.0,0.0
court-form-filling,random_wrong,1,kivo360--moai-domain-backend,False,,0.0,0.0,0.0
court-form-filling,no_skill,2,,,,0.0,0.0,0.0
court-form-filling,gold_skill,2,benchflow-ai--pdf-1,True,241,0.004149377593360996,0.0,0.0
court-form-filling,retrieved_top1_full,2,ynulihao--browser-automation,False,280,0.0035714285714285713,0.0,0.0
court-form-filling,hard_distractor,2,github--playwright-automation-fill-in-form,False,357,0.0028011204481792717,0.0,0.0
court-form-filling,random_wrong,2,terrylica--convert,False,,0.0,0.0,0.0
crystallographic-wyckoff-position-analysis,no_skill,0,,,,0.0,0.0,0.0
crystallographic-wyckoff-position-analysis,gold_skill,0,benchflow-ai--pymatgen,True,31,0.03225806451612903,0.0,1.0
crystallographic-wyckoff-position-analysis,retrieved_top1_full,0,sunholo-data--parser-developer,False,,0.0,0.0,0.0
crystallographic-wyckoff-position-analysis,hard_distractor,0,duc01226--checkpoint,False,,0.0,0.0,0.0
crystallographic-wyckoff-position-analysis,random_wrong,0,gravito-framework--migration-master,False,,0.0,0.0,0.0
crystallographic-wyckoff-position-analysis,no_skill,1,,,,0.0,0.0,0.0
crystallographic-wyckoff-position-analysis,gold_skill,1,benchflow-ai--pymatgen,True,31,0.03225806451612903,0.0,1.0
crystallographic-wyckoff-position-analysis,retrieved_top1_full,1,sunholo-data--parser-developer,False,,0.0,0.0,0.0
crystallographic-wyckoff-position-analysis,hard_distractor,1,duc01226--checkpoint,False,,0.0,0.0,0.0
crystallographic-wyckoff-position-analysis,random_wrong,1,alsk1992--onchainkit,False,,0.0,0.0,0.0
crystallographic-wyckoff-position-analysis,no_skill,2,,,,0.0,0.0,0.0
crystallographic-wyckoff-position-analysis,gold_skill,2,benchflow-ai--pymatgen,True,31,0.03225806451612903,0.0,1.0
crystallographic-wyckoff-position-analysis,retrieved_top1_full,2,sunholo-data--parser-developer,False,,0.0,0.0,0.0
crystallographic-wyckoff-position-analysis,hard_distractor,2,duc01226--checkpoint,False,,0.0,0.0,0.0
crystallographic-wyckoff-position-analysis,random_wrong,2,constructive-io--fbp-spec,False,,0.0,0.0,0.0
dapt-intrusion-detection,no_skill,0,,,,0.0,0.0,0.0
dapt-intrusion-detection,gold_skill,0,benchflow-ai--pcap-analysis,True,15,0.06666666666666667,0.0,1.0
dapt-intrusion-detection,retrieved_top1_full,0,benchflow-ai--pcap-analysis,True,15,0.06666666666666667,0.0,1.0
dapt-intrusion-detection,hard_distractor,0,chaterm--traffic-analysis,False,,0.0,0.0,0.0
dapt-intrusion-detection,random_wrong,0,enuno--btcpayserver-doc,False,,0.0,0.0,0.0
dapt-intrusion-detection,no_skill,1,,,,0.0,0.0,0.0
dapt-intrusion-detection,gold_skill,1,benchflow-ai--pcap-analysis,True,15,0.06666666666666667,0.0,1.0
dapt-intrusion-detection,retrieved_top1_full,1,benchflow-ai--pcap-analysis,True,15,0.06666666666666667,0.0,1.0
dapt-intrusion-detection,hard_distractor,1,chaterm--traffic-analysis,False,,0.0,0.0,0.0
dapt-intrusion-detection,random_wrong,1,wondelai--ddia-systems,False,,0.0,0.0,0.0
dapt-intrusion-detection,no_skill,2,,,,0.0,0.0,0.0
dapt-intrusion-detection,gold_skill,2,benchflow-ai--pcap-analysis,True,15,0.06666666666666667,0.0,1.0
dapt-intrusion-detection,retrieved_top1_full,2,benchflow-ai--pcap-analysis,True,15,0.06666666666666667,0.0,1.0
dapt-intrusion-detection,hard_distractor,2,chaterm--traffic-analysis,False,,0.0,0.0,0.0
dapt-intrusion-detection,random_wrong,2,jeremylongshore--optimizing-staking-rewards,False,,0.0,0.0,0.0
data-to-d3,no_skill,0,,,,0.0,0.0,0.0
data-to-d3,gold_skill,0,benchflow-ai--d3js-visualization,True,1,1.0,1.0,1.0
data-to-d3,retrieved_top1_full,0,bbeierle12--d3js-visualization,False,14,0.07142857142857142,0.0,1.0
data-to-d3,hard_distractor,0,aws-samples--file-processing,False,277,0.0036101083032490976,0.0,0.0
data-to-d3,random_wrong,0,atxp-dev--atxp-memory,False,,0.0,0.0,0.0
data-to-d3,no_skill,1,,,,0.0,0.0,0.0
data-to-d3,gold_skill,1,benchflow-ai--d3js-visualization,True,1,1.0,1.0,1.0
data-to-d3,retrieved_top1_full,1,bbeierle12--d3js-visualization,False,14,0.07142857142857142,0.0,1.0
data-to-d3,hard_distractor,1,aws-samples--file-processing,False,277,0.0036101083032490976,0.0,0.0
data-to-d3,random_wrong,1,aaaaqwq--pipedrive-automation,False,,0.0,0.0,0.0
data-to-d3,no_skill,2,,,,0.0,0.0,0.0
data-to-d3,gold_skill,2,benchflow-ai--d3js-visualization,True,1,1.0,1.0,1.0
data-to-d3,retrieved_top1_full,2,bbeierle12--d3js-visualization,False,14,0.07142857142857142,0.0,1.0
data-to-d3,hard_distractor,2,aws-samples--file-processing,False,277,0.0036101083032490976,0.0,0.0
data-to-d3,random_wrong,2,solatis--refactor,False,,0.0,0.0,0.0
dialogue-parser,no_skill,0,,,,0.0,0.0,0.0
dialogue-parser,gold_skill,0,benchflow-ai--dialogue-graph,True,577,0.0017331022530329288,0.0,0.0
dialogue-parser,retrieved_top1_full,0,jeremylongshore--graphviz-dot-generator,False,,0.0,0.0,0.0
dialogue-parser,hard_distractor,0,cloudai-x--world-labs-text-prompt,False,,0.0,0.0,0.0
dialogue-parser,random_wrong,0,peterbamuhigire--api-pagination,False,,0.0,0.0,0.0
dialogue-parser,no_skill,1,,,,0.0,0.0,0.0
dialogue-parser,gold_skill,1,benchflow-ai--dialogue-graph,True,577,0.0017331022530329288,0.0,0.0
dialogue-parser,retrieved_top1_full,1,jeremylongshore--graphviz-dot-generator,False,,0.0,0.0,0.0
dialogue-parser,hard_distractor,1,cloudai-x--world-labs-text-prompt,False,,0.0,0.0,0.0
dialogue-parser,random_wrong,1,weapp-vite--weapp-vite-best-practices,False,140,0.007142857142857143,0.0,0.0
dialogue-parser,no_skill,2,,,,0.0,0.0,0.0
dialogue-parser,gold_skill,2,benchflow-ai--dialogue-graph,True,577,0.0017331022530329288,0.0,0.0
dialogue-parser,retrieved_top1_full,2,jeremylongshore--graphviz-dot-generator,False,,0.0,0.0,0.0
dialogue-parser,hard_distractor,2,cloudai-x--world-labs-text-prompt,False,,0.0,0.0,0.0
dialogue-parser,random_wrong,2,hieutrtr--pre-merge-checklist,False,,0.0,0.0,0.0
dynamic-object-aware-egomotion,no_skill,0,,,,0.0,0.0,0.0
dynamic-object-aware-egomotion,gold_skill,0,benchflow-ai--dyn-object-masks,True,2,0.5,1.0,1.0
dynamic-object-aware-egomotion,retrieved_top1_full,0,benchflow-ai--egomotion-estimation,True,81,0.012345679012345678,0.0,1.0
dynamic-object-aware-egomotion,hard_distractor,0,eachlabs--video-stabilization,False,,0.0,0.0,0.0
dynamic-object-aware-egomotion,random_wrong,0,melodic-software--enterprise-security,False,,0.0,0.0,0.0
dynamic-object-aware-egomotion,no_skill,1,,,,0.0,0.0,0.0
dynamic-object-aware-egomotion,gold_skill,1,benchflow-ai--dyn-object-masks,True,2,0.5,1.0,1.0
dynamic-object-aware-egomotion,retrieved_top1_full,1,benchflow-ai--egomotion-estimation,True,81,0.012345679012345678,0.0,1.0
dynamic-object-aware-egomotion,hard_distractor,1,eachlabs--video-stabilization,False,,0.0,0.0,0.0
dynamic-object-aware-egomotion,random_wrong,1,jezweb--favicon-gen,False,,0.0,0.0,0.0
dynamic-object-aware-egomotion,no_skill,2,,,,0.0,0.0,0.0
dynamic-object-aware-egomotion,gold_skill,2,benchflow-ai--dyn-object-masks,True,2,0.5,1.0,1.0
dynamic-object-aware-egomotion,retrieved_top1_full,2,benchflow-ai--egomotion-estimation,True,81,0.012345679012345678,0.0,1.0
dynamic-object-aware-egomotion,hard_distractor,2,eachlabs--video-stabilization,False,,0.0,0.0,0.0
dynamic-object-aware-egomotion,random_wrong,2,vibeindex--rising,False,,0.0,0.0,0.0
earthquake-phase-association,no_skill,0,,,,0.0,0.0,0.0
earthquake-phase-association,gold_skill,0,benchflow-ai--gamma-phase-associator,True,288,0.003472222222222222,0.0,0.0
earthquake-phase-association,retrieved_top1_full,0,benchflow-ai--seisbench-model-api,True,,0.0,0.0,0.0
earthquake-phase-association,hard_distractor,0,dvdsgl--calendar,False,,0.0,0.0,0.0
earthquake-phase-association,random_wrong,0,galz10--prd-drafter,False,,0.0,0.0,0.0
earthquake-phase-association,no_skill,1,,,,0.0,0.0,0.0
earthquake-phase-association,gold_skill,1,benchflow-ai--gamma-phase-associator,True,288,0.003472222222222222,0.0,0.0
earthquake-phase-association,retrieved_top1_full,1,benchflow-ai--seisbench-model-api,True,,0.0,0.0,0.0
earthquake-phase-association,hard_distractor,1,dvdsgl--calendar,False,,0.0,0.0,0.0
earthquake-phase-association,random_wrong,1,thebushidocollective--relay-mutations-patterns,False,,0.0,0.0,0.0
earthquake-phase-association,no_skill,2,,,,0.0,0.0,0.0
earthquake-phase-association,gold_skill,2,benchflow-ai--gamma-phase-associator,True,288,0.003472222222222222,0.0,0.0
earthquake-phase-association,retrieved_top1_full,2,benchflow-ai--seisbench-model-api,True,,0.0,0.0,0.0
earthquake-phase-association,hard_distractor,2,dvdsgl--calendar,False,,0.0,0.0,0.0
earthquake-phase-association,random_wrong,2,stuartf303--nbitcoin,False,,0.0,0.0,0.0
earthquake-plate-calculation,no_skill,0,,,,0.0,0.0,0.0
earthquake-plate-calculation,gold_skill,0,benchflow-ai--geospatial-analysis,True,30,0.03333333333333333,0.0,1.0
earthquake-plate-calculation,retrieved_top1_full,0,benchflow-ai--geospatial-analysis,True,30,0.03333333333333333,0.0,1.0
earthquake-plate-calculation,hard_distractor,0,parcadei--explicit-identity,False,,0.0,0.0,0.0
earthquake-plate-calculation,random_wrong,0,huggingface--add-model-descriptions,False,,0.0,0.0,0.0
earthquake-plate-calculation,no_skill,1,,,,0.0,0.0,0.0
earthquake-plate-calculation,gold_skill,1,benchflow-ai--geospatial-analysis,True,30,0.03333333333333333,0.0,1.0
earthquake-plate-calculation,retrieved_top1_full,1,benchflow-ai--geospatial-analysis,True,30,0.03333333333333333,0.0,1.0
earthquake-plate-calculation,hard_distractor,1,parcadei--explicit-identity,False,,0.0,0.0,0.0
earthquake-plate-calculation,random_wrong,1,sammcj--mermaid-diagrams,False,,0.0,0.0,0.0
earthquake-plate-calculation,no_skill,2,,,,0.0,0.0,0.0
earthquake-plate-calculation,gold_skill,2,benchflow-ai--geospatial-analysis,True,30,0.03333333333333333,0.0,1.0
earthquake-plate-calculation,retrieved_top1_full,2,benchflow-ai--geospatial-analysis,True,30,0.03333333333333333,0.0,1.0
earthquake-plate-calculation,hard_distractor,2,parcadei--explicit-identity,False,,0.0,0.0,0.0
earthquake-plate-calculation,random_wrong,2,zebbern--file-path-traversal-testing,False,51,0.0196078431372549,0.0,1.0
econ-detrending-correlation,no_skill,0,,,,0.0,0.0,0.0
econ-detrending-correlation,gold_skill,0,benchflow-ai--timeseries-detrending,True,248,0.004032258064516129,0.0,0.0
econ-detrending-correlation,retrieved_top1_full,0,wwwzhouhui--excel-report-generator,False,,0.0,0.0,0.0
econ-detrending-correlation,hard_distractor,0,lc2panda--wps-excel,False,,0.0,0.0,0.0
econ-detrending-correlation,random_wrong,0,aj-geddes--clustering-analysis,False,,0.0,0.0,0.0
econ-detrending-correlation,no_skill,1,,,,0.0,0.0,0.0
econ-detrending-correlation,gold_skill,1,benchflow-ai--timeseries-detrending,True,248,0.004032258064516129,0.0,0.0
econ-detrending-correlation,retrieved_top1_full,1,wwwzhouhui--excel-report-generator,False,,0.0,0.0,0.0
econ-detrending-correlation,hard_distractor,1,lc2panda--wps-excel,False,,0.0,0.0,0.0
econ-detrending-correlation,random_wrong,1,sickn33--azure-servicebus-dotnet,False,,0.0,0.0,0.0
econ-detrending-correlation,no_skill,2,,,,0.0,0.0,0.0
econ-detrending-correlation,gold_skill,2,benchflow-ai--timeseries-detrending,True,248,0.004032258064516129,0.0,0.0
econ-detrending-correlation,retrieved_top1_full,2,wwwzhouhui--excel-report-generator,False,,0.0,0.0,0.0
econ-detrending-correlation,hard_distractor,2,lc2panda--wps-excel,False,,0.0,0.0,0.0
econ-detrending-correlation,random_wrong,2,CharlesWiltgen--axiom-textkit-ref,False,,0.0,0.0,0.0
energy-ac-optimal-power-flow,no_skill,0,,,,0.0,0.0,0.0
energy-ac-optimal-power-flow,gold_skill,0,benchflow-ai--ac-branch-pi-model,True,1,1.0,1.0,1.0
energy-ac-optimal-power-flow,retrieved_top1_full,0,benchflow-ai--dc-power-flow,False,338,0.0029585798816568047,0.0,0.0
energy-ac-optimal-power-flow,hard_distractor,0,benchflow-ai--economic-dispatch,False,,0.0,0.0,0.0
energy-ac-optimal-power-flow,random_wrong,0,melodic-software--taxonomy-architecture,False,,0.0,0.0,0.0
energy-ac-optimal-power-flow,no_skill,1,,,,0.0,0.0,0.0
energy-ac-optimal-power-flow,gold_skill,1,benchflow-ai--ac-branch-pi-model,True,1,1.0,1.0,1.0
energy-ac-optimal-power-flow,retrieved_top1_full,1,benchflow-ai--dc-power-flow,False,338,0.0029585798816568047,0.0,0.0
energy-ac-optimal-power-flow,hard_distractor,1,benchflow-ai--economic-dispatch,False,,0.0,0.0,0.0
energy-ac-optimal-power-flow,random_wrong,1,vp-k--flutter-testing,False,,0.0,0.0,0.0
energy-ac-optimal-power-flow,no_skill,2,,,,0.0,0.0,0.0
energy-ac-optimal-power-flow,gold_skill,2,benchflow-ai--ac-branch-pi-model,True,1,1.0,1.0,1.0
energy-ac-optimal-power-flow,retrieved_top1_full,2,benchflow-ai--dc-power-flow,False,338,0.0029585798816568047,0.0,0.0
energy-ac-optimal-power-flow,hard_distractor,2,benchflow-ai--economic-dispatch,False,,0.0,0.0,0.0
energy-ac-optimal-power-flow,random_wrong,2,jeremylongshore--presentation-slide-outliner,False,,0.0,0.0,0.0
energy-market-pricing,no_skill,0,,,,0.0,0.0,0.0
energy-market-pricing,gold_skill,0,benchflow-ai--dc-power-flow,True,,0.0,0.0,0.0
energy-market-pricing,retrieved_top1_full,0,benchflow-ai--locational-marginal-prices,True,571,0.0017513134851138354,0.0,0.0
energy-market-pricing,hard_distractor,0,chaterm--network-tools,False,,0.0,0.0,0.0
energy-market-pricing,random_wrong,0,oaustegard--versioning-skills,False,,0.0,0.0,0.0
energy-market-pricing,no_skill,1,,,,0.0,0.0,0.0
energy-market-pricing,gold_skill,1,benchflow-ai--dc-power-flow,True,,0.0,0.0,0.0
energy-market-pricing,retrieved_top1_full,1,benchflow-ai--locational-marginal-prices,True,571,0.0017513134851138354,0.0,0.0
energy-market-pricing,hard_distractor,1,chaterm--network-tools,False,,0.0,0.0,0.0
energy-market-pricing,random_wrong,1,oimiragieo--ai-ml-expert,False,,0.0,0.0,0.0
energy-market-pricing,no_skill,2,,,,0.0,0.0,0.0
energy-market-pricing,gold_skill,2,benchflow-ai--dc-power-flow,True,,0.0,0.0,0.0
energy-market-pricing,retrieved_top1_full,2,benchflow-ai--locational-marginal-prices,True,571,0.0017513134851138354,0.0,0.0
energy-market-pricing,hard_distractor,2,chaterm--network-tools,False,,0.0,0.0,0.0
energy-market-pricing,random_wrong,2,a-ariff--executing-plans,False,,0.0,0.0,0.0
enterprise-information-search,no_skill,0,,,,0.0,0.0,0.0
enterprise-information-search,gold_skill,0,benchflow-ai--enterprise-artifact-search,True,821,0.001218026796589525,0.0,0.0
enterprise-information-search,retrieved_top1_full,0,Orchestra-Research--blip-2-vision-language,False,,0.0,0.0,0.0
enterprise-information-search,hard_distractor,0,bobmatnyc--json-data-handling,False,384,0.0026041666666666665,0.0,0.0
enterprise-information-search,random_wrong,0,cinience--alicloud-platform-multicloud-docs-api-benchmark-test,False,208,0.004807692307692308,0.0,0.0
enterprise-information-search,no_skill,1,,,,0.0,0.0,0.0
enterprise-information-search,gold_skill,1,benchflow-ai--enterprise-artifact-search,True,821,0.001218026796589525,0.0,0.0
enterprise-information-search,retrieved_top1_full,1,Orchestra-Research--blip-2-vision-language,False,,0.0,0.0,0.0
enterprise-information-search,hard_distractor,1,bobmatnyc--json-data-handling,False,384,0.0026041666666666665,0.0,0.0
enterprise-information-search,random_wrong,1,finesssee--linear-triage,False,,0.0,0.0,0.0
enterprise-information-search,no_skill,2,,,,0.0,0.0,0.0
enterprise-information-search,gold_skill,2,benchflow-ai--enterprise-artifact-search,True,821,0.001218026796589525,0.0,0.0
enterprise-information-search,retrieved_top1_full,2,Orchestra-Research--blip-2-vision-language,False,,0.0,0.0,0.0
enterprise-information-search,hard_distractor,2,bobmatnyc--json-data-handling,False,384,0.0026041666666666665,0.0,0.0
enterprise-information-search,random_wrong,2,alexander-danilenko--agents-md-pro,False,,0.0,0.0,0.0
exceltable-in-ppt,no_skill,0,,,,0.0,0.0,0.0
exceltable-in-ppt,gold_skill,0,benchflow-ai--pptx,True,14,0.07142857142857142,0.0,1.0
exceltable-in-ppt,retrieved_top1_full,0,yusuketsunoda--pptx-translation,False,5,0.2,1.0,1.0
exceltable-in-ppt,hard_distractor,0,yusuketsunoda--pptx-translation,False,5,0.2,1.0,1.0
exceltable-in-ppt,random_wrong,0,manojbajaj95--storybrand-messaging,False,,0.0,0.0,0.0
exceltable-in-ppt,no_skill,1,,,,0.0,0.0,0.0
exceltable-in-ppt,gold_skill,1,benchflow-ai--pptx,True,14,0.07142857142857142,0.0,1.0
exceltable-in-ppt,retrieved_top1_full,1,yusuketsunoda--pptx-translation,False,5,0.2,1.0,1.0
exceltable-in-ppt,hard_distractor,1,yusuketsunoda--pptx-translation,False,5,0.2,1.0,1.0
exceltable-in-ppt,random_wrong,1,rytass--cms-modules,False,,0.0,0.0,0.0
exceltable-in-ppt,no_skill,2,,,,0.0,0.0,0.0
exceltable-in-ppt,gold_skill,2,benchflow-ai--pptx,True,14,0.07142857142857142,0.0,1.0
exceltable-in-ppt,retrieved_top1_full,2,yusuketsunoda--pptx-translation,False,5,0.2,1.0,1.0
exceltable-in-ppt,hard_distractor,2,yusuketsunoda--pptx-translation,False,5,0.2,1.0,1.0
exceltable-in-ppt,random_wrong,2,saschabrunnerch--arcgis-knowledge-graphs,False,,0.0,0.0,0.0
exoplanet-detection-period,no_skill,0,,,,0.0,0.0,0.0
exoplanet-detection-period,gold_skill,0,benchflow-ai--box-least-squares,True,,0.0,0.0,0.0
exoplanet-detection-period,retrieved_top1_full,0,benchflow-ai--box-least-squares,True,,0.0,0.0,0.0
exoplanet-detection-period,hard_distractor,0,starwreckntx--adaptive-temporal-analysis-integration,False,,0.0,0.0,0.0
exoplanet-detection-period,random_wrong,0,oimiragieo--semgrep-rule-creator,False,,0.0,0.0,0.0
exoplanet-detection-period,no_skill,1,,,,0.0,0.0,0.0
exoplanet-detection-period,gold_skill,1,benchflow-ai--box-least-squares,True,,0.0,0.0,0.0
exoplanet-detection-period,retrieved_top1_full,1,benchflow-ai--box-least-squares,True,,0.0,0.0,0.0
exoplanet-detection-period,hard_distractor,1,starwreckntx--adaptive-temporal-analysis-integration,False,,0.0,0.0,0.0
exoplanet-detection-period,random_wrong,1,existential-birds--langgraph-code-review,False,,0.0,0.0,0.0
exoplanet-detection-period,no_skill,2,,,,0.0,0.0,0.0
exoplanet-detection-period,gold_skill,2,benchflow-ai--box-least-squares,True,,0.0,0.0,0.0
exoplanet-detection-period,retrieved_top1_full,2,benchflow-ai--box-least-squares,True,,0.0,0.0,0.0
exoplanet-detection-period,hard_distractor,2,starwreckntx--adaptive-temporal-analysis-integration,False,,0.0,0.0,0.0
exoplanet-detection-period,random_wrong,2,tech-leads-club--coding-guidelines,False,,0.0,0.0,0.0
financial-modeling-qa,no_skill,0,,,,0.0,0.0,0.0
